chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2024-12,dezembro/2024,144715.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2025-02,fevereiro/2025,145228.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2025-04,abril/2025,144825.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2025-06,junho/2025,143622.000000,usado,,,,,
014110-0|32000|flex|excluir,honda|hrv|base|flex|excluir,014110-0,Honda,HR-V EXL 1.5 Flex Sensing 16V 5p Aut.,32000,Flex,2025-08,agosto/2025,142577.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2021-05,05/2021,83154.000000,zero_km,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2021-07,julho/2021,78658.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2021-09,setembro/2021,83590.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2021-11,novembro/2021,86366.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-01,janeiro/2022,89695.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-03,março/2022,90535.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-05,maio/2022,95920.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-07,julho/2022,89973.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-09,setembro/2022,90262.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2022-11,novembro/2022,90364.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2023-01,janeiro/2023,88976.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2023-03,março/2023,88649.000000,usado,,,,,
015200-5|32000|flex|excluir,hyundai|creta|base|flex|excluir,015200-5,Hyundai,Creta Comfort 1.0 TB 12V Flex Aut.,32000,Flex,2023-05,maio/2023,88108.000000,usado,,,,,
