titulo,marca_id,modelo_id,ano_fipe_codigo,marca,modelo,ano_modelo,categoria,data_referencia,valor_fipe,data_salvamento
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-06,293347.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-07,298193.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-08,287756.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-10,274938.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-11,265985.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2025-12,256675.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2026-01,254434.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2026-02,244051.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2026-03,239676.000000,2026-05-12 23:26:47
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,2026-04,242497.000000,2026-05-12 23:26:47
