titulo,marca_id,modelo_id,ano_fipe_codigo,marca,modelo,ano_modelo,categoria,modo_pandemia,preco_zero_km_base,data_preco_zero_km_base,data_origem_idade,garantia_bateria_anos,valor_fipe_atual,valor_futuro_base,valor_futuro_otimista,valor_futuro_pessimista,taxa_mensal_base_cenario_percentual,taxa_mensal_otimista_percentual,taxa_mensal_pessimista_percentual,depreciacao_media_anual_percentual,confianca_ev,janela_historica_meses,pontos_historicos,zona_bateria,camada_ev_status,data_salvamento
BYD Dolphin Mini EV,,,,,,,EV,Excluir,115800.000000,2024-01,2024-01,8.00,89900.000000,44885.926108,49840.750654,37682.504090,1.53402398,1.30392038,1.91752998,12.96977633,INSUFICIENTE,24,5,ATENCAO,LIGADA,2026-05-12 00:08:28
BYD Yuan Plus (Elétrico) Zero km,,,,BYD,Yuan Plus (Elétrico),Zero km,EV_PURO,Excluir,236033.000000,2026-05,2023-01,8.00,263806.000000,112120.109557,127575.669390,90351.701920,2.11972368,1.80176513,2.64965460,15.72868538,ALTA,49,39,SENSIVEL,LIGADA,2026-05-12 00:40:11
BYD Dolphin EV (Elétrico) Zero km,238,10813,32000-4,BYD,Dolphin EV (Elétrico),Zero km,EV_PURO,Excluir,149990.000000,2026-05,2024-01,8.00,117012.000000,70865.273465,76422.497488,62473.208524,1.10940610,0.94299519,1.38675763,9.54332645,ALTA,28,29,ATENCAO,LIGADA,2026-05-12 23:11:57
BYD Dolphin EV (Elétrico) 2025,238,10813,2025-4,BYD,Dolphin EV (Elétrico),2025,EV_PURO,Excluir,121189.000000,2026-05,2025-01,8.00,117012.000000,67715.080740,73528.854384,59013.796232,1.10940610,0.94299519,1.38675763,10.36223909,ALTA,28,29,CONFORTAVEL,NEUTRA,2026-05-12 23:12:24
BYD Dolphin EV (Elétrico) 2024,238,10813,2024-4,BYD,Dolphin EV (Elétrico),2024,EV_PURO,Excluir,117410.000000,2026-05,2024-01,8.00,117012.000000,70865.273465,76422.497488,62473.208524,1.10940610,0.94299519,1.38675763,9.54332645,ALTA,28,29,ATENCAO,LIGADA,2026-05-12 23:13:08
BYD Seal (Elétrico) Zero km,238,10833,32000-4,BYD,Seal (Elétrico),Zero km,EV_PURO,Excluir,299998.000000,2026-05,2024-01,8.00,205742.000000,130630.227642,139872.560595,116542.879208,1.03489805,0.87966334,1.29362256,8.68457489,MEDIA,32,21,ATENCAO,LIGADA,2026-05-12 23:19:29
BYD Dolphin Mini (Elétrico) Zero km,238,10986,32000-4,BYD,Dolphin Mini (Elétrico),Zero km,EV_PURO,Excluir,120463.000000,2026-05,2024-01,8.00,117410.000000,92057.468366,95484.683859,86612.256331,0.55519400,0.47191490,0.69399250,4.74872716,MEDIA,32,20,ATENCAO,LIGADA,2026-05-12 23:24:25
BYD Han EV (Elétrico) Zero km,238,9860,32000-4,BYD,Han EV  (Elétrico),Zero km,EV_PURO,Excluir,557206.000000,2026-05,2022-01,8.00,242497.000000,111539.481081,125401.585487,91709.369138,2.07473674,1.76352623,2.59342092,14.38606672,ALTA,49,30,SENSIVEL,LIGADA,2026-05-12 23:26:47
